Column		Type		Invalid	Empty	EmptyWithMean	Not_Stated	unknown	Total_Missing	NotApplicable	Total	Revision
ULD_MECO	binary		0	66	0		23262		0	23328		0		4255188	UR
ULD_PRECIP	binary		0	99	0		37926		0	38025		0		4255188	UR
ULD_BREECH	binary		22	77	0		112914		0	113013		0		4255188	UR
ME_ATTF		binary		49	1493792	0		93058		0	1586899		0		4255188	R
ME_ATTV		binary		44	1493803	0		91779		0	1585626		0		4255188	R
ME_PRES		binary		22	1493803	0		107976		0	1601801		0		4255188	R
ME_ROUT		nominal		0	1493792	0		4093		0	1497885		0		4255188	R
ME_TRIAL	nominal		55	1493792	0		28910		0	1522757		1859491		4255188	R
UME_VAG		nominal		8	2761374	0		10030		0	2771412		0		4255188	U
UME_VBAC	nominal		5	2761385	0		10030		0	2771420		0		4255188	U
UME_PRIMC	nominal		6	2761352	0		10031		0	2771389		0		4255188	U
UME_REPEC	nominal		2	2761396	0		10031		0	2771429		0		4255188	U
UME_FORCP	nominal		4	44	0		14124		0	14172		0		4255188	UR
UME_VAC		nominal		3	88	0		14123		0	14214		0		4255188	UR
RDMETH_REC	nominal		0	1493814	0		4094		0	1497908		0		4255188	R
UDMETH_REC	nominal		0	2761440	0		10030		0	2771470		0		4255188	U
DMETH_REC	nominal		0	99	0		14123		0	14222		0		4255188	UR
ATTEND		nominal		6	66	0		2197		0	2269		0		4255188	UR
APGAR5		nominal		33	66	0		28803		0	28902		0		4255188	UR
APGAR5R		nominal		0	66	0		28803		0	28869		0		4255188	UR
DPLURAL		nominal		0	99	0		0		0	99		0		4255188	UR
IMP_PLUR	binary		0	0	4255005		0		0	0		0		4255188	UR
SEX		binary		99	0	0		0		0	99		0		4255188	UR
IMP_SEX		binary		91	0	0		0		0	91		0		4255188	UR
DLMP_MM		nominal		48	0	0		242083		0	242131		0		4255188	UR
DLMP_DD		nominal		33	0	0		430908		0	430941		0		4255188	UR
DLMP_YY		nominal		98	0	0		234589		0	2345687		0		4255188	UR
ESTGEST		nominal		33	33	0		14142		0	14208		0		4255188	UR
COMBGEST	numerical	64	33	0		5845		0	5942		0		4255188	UR
GESTREC10	nominal		34	65	0		5844		0	5943		0		4255188	UR
GESTREC3	nominal		0	98	0		5844		0	5942		0		4255188	UR
OBGEST_FLG	binary		0	0	3989299		0		0	0		0		4255188	UR
GEST_IMP	binary		0	0	4069376		0		0	0		0		4255188	UR
BRTHWGT		numerical	72	0	0		996		0	1068		0		4255188	UR
BWTR14		nominal		77	22	0		996		0	1095		0		4255188	UR
BWTR4B		nominal		44	55	0		996		0	1095		0		4255188	UR
BWTIMP		binary		66	0	4251731		0		0	66		0		4255188	UR
AB_AVEN1	binary		0	1493781	0		29304		0	1523085		0		4255188	R
AB_AVEN6	binary		0	1493803	0		29304		0	1523107		0		4255188	R
AB_NICU		binary		0	1493803	0		29304		0	1523107		0		4255188	R
AB_SURF		binary		0	1493825	0		29304		0	1523129		0		4255188	R
AB_ANTI		binary		0	1493825	0		29304		0	1523129		0		4255188	R
AB_SEIZ		binary		0	1493847	0		29304		0	1523151		0		4255188	R
AB_BINJ		binary		0	1493847	0		29304		0	1523151		0		4255188	R
CA_ANEN		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_MNSB		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_CCHD		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_CDH		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_OMPH		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_GAST		binary		0	1493781	0		34147		0	1527928		0		4255188	R
CA_LIMB		binary		33	1493770	0		34147		0	1527950		0		4255188	R
CA_CLEFT	binary		33	1493770	0		34147		0	1527950		0		4255188	R
CA_CLPAL	binary		33	1493792	0		34147		0	1527972		0		4255188	R
CA_DOWN		binary		34	1493792	0		34147		0	1527973		0		4255188	R
CA_DISOR	binary		33	1493814	0		34146		0	1527993		0		4255188	R
CA_HYPO		binary		33	1493814	0		34146		0	1527993		0		4255188	R
UCA_ANEN	binary		0	99	0		0		0	99		0		4255188	UR
UCA_SPINA	binary		0	99	0		0		0	99		0		4255188	UR
UCA_OMPHA	binary		0	99	0		0		0	99		0		4255188	UR
UCA_CELFTLP	binary		0	99	0		0		0	99		0		4255188	UR
UCA_DOWNS	binary		0	99	0		0		0	99		0		4255188	UR
FLGND		binary		0	99	0		0		0	99		0		4255188	NA
AGED		nominal		0	4227665	0		0		0	4227665		0		4255188	NA
AGER5		nominal		0	4227665	0		0		0	4227665		0		4255188	NA
AGER22		nominal		0	4227665	0		0		0	4227665		0		4255188	NA
MANNER		nominal		0	4234089	0		0		0	4234089		0		4255188	NA
DISPO		nominal		0	4227665	0		0		10031	4237696		0		4255188	NA
AUTOPSY		nominal		0	4227665	0		0		2652	4230317		0		4255188	NA
PLACE		nominal		0	4253545	0		0		0	4253545		0		4255188	NA
UC0D		nominal		33	4227632	0		0		0	4227665		0		4255188	NA
UCODR130	nominal		33	4227566	0		0		0	4227599		0		4255188	NA
